15822,Eugeniusza Paukszty,
16057,Piastów,
16116,Piekiełko,
16264,Piłsudskiego,Józefa
16264,Marszałka Piłsudskiego,
16264,Piłsudskiego Józefa,
16264,Józefa Piłsudskiego,
16531,Płowiecka,
16713,Podchorążych,
16742,Podgórna,
16900,Pogodna,
17011,Polna,
17088,Pomorska,
17171,Poprzeczna,
17217,Portowa,
17368,Powstańców Warszawskich,
17368,pl. powstańców warszawskich,
17377,Powstańców Wielkopolskich,
17390,Poziomkowa,
17394,Poznańska,
17475,Prądzyńskiego,Ignacego
17475,Prądzyńskiego Ignacego,
17475,Ignacego Prądzyńskiego,
17547,Prosta,
17577,Prusa,Bolesława
17577,Prusa Bolesława,
17577,Bolesława Prusa,
17635,Przechodnia,
17740,Przemysława II,
17742,Przemysłowa,
17866,Przybosia,Juliana
17866,Przybosia Juliana,
17866,Juliana Przybosia,
18024,Psie Pole,
18095,Pułaskiego,gen. Kazimierza
18095,Pułaskiego gen. Kazimierza,
18095,gen. Kazimierza Pułaskiego,
18273,Racławicka,
18467,Raszyńska,
18565,Reja,Mikołaja
18565,Reja Mikołaja,
18565,Mikołaja Reja,
18575,Rejtana,Tadeusza
18575,Rejtana Tadeusza,
18575,Tadeusza Rejtana,
18648,Reymonta,Władysława
18648,Reymonta Władysława,
18648,Władysława Reymonta,
18847,Romera,prof. Eugeniusza
18847,Romera prof. Eugeniusza,
18847,prof. Eugeniusza Romera,
19000,Różana,
19142,Rybacka,
19274,Rynek Rybacki,
19274,Rybacki,
19335,Rzemieślnicza,
19404,Sadowa,
19581,Sądowa,
19831,Sienkiewicza,Henryka
19831,Sienkiewicza Henryka,
19831,Henryka Sienkiewicza,
19866,Sierpinka,
19907,Sikorskiego,gen. Władysława
19907,Sikorskiego gen. Władysława,
19907,gen. Władysława Sikorskiego,
20012,Skargi,Piotra
20012,Skargi Piotra,
20012,Piotra Skargi,
20198,Sławieńska,
20254,Słoneczna,
20291,Słowackiego,Juliusza
20291,Słowackiego Juliusza,
20291,Juliusza Słowackiego,
20294,Słowiańska,
20427,Jana Sobieskiego,
20427,Sobieskiego,
20551,Solskiego,Ludwika
20551,Solskiego Ludwika,
20551,Ludwika Solskiego,
20598,Sosnowa,
